,stock_id,stock_name,industry_category,list_type,list_date,raw
3292,4550,長佳,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4550', 'stock_name': '長佳', 'type': 'tpex', 'date': '2025-09-30'}"
3293,4551,智伸科,汽車工業,twse,2025-09-30,"{'industry_category': '汽車工業', 'stock_id': '4551', 'stock_name': '智伸科', 'type': 'twse', 'date': '2025-09-30'}"
3294,4552,力達-KY,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4552', 'stock_name': '力達-KY', 'type': 'twse', 'date': '2025-09-30'}"
3295,4553,盛復,電機機械,emerging,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4553', 'stock_name': '盛復', 'type': 'emerging', 'date': '2025-09-30'}"
3296,4554,橙的,其他電子類,tpex,2025-09-30,"{'industry_category': '其他電子類', 'stock_id': '4554', 'stock_name': '橙的', 'type': 'tpex', 'date': '2025-09-30'}"
3297,4555,氣立,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4555', 'stock_name': '氣立', 'type': 'twse', 'date': '2025-09-30'}"
3298,4556,旭然,其他,tpex,2025-09-30,"{'industry_category': '其他', 'stock_id': '4556', 'stock_name': '旭然', 'type': 'tpex', 'date': '2025-09-30'}"
3299,4557,永新-KY,汽車工業,twse,2025-09-30,"{'industry_category': '汽車工業', 'stock_id': '4557', 'stock_name': '永新-KY', 'type': 'twse', 'date': '2025-09-30'}"
3300,4558,寶緯,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4558', 'stock_name': '寶緯', 'type': 'tpex', 'date': '2025-09-30'}"
3301,4559,久裕興,運動休閒,emerging,2025-09-30,"{'industry_category': '運動休閒', 'stock_id': '4559', 'stock_name': '久裕興', 'type': 'emerging', 'date': '2025-09-30'}"
3302,4560,強信-KY,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4560', 'stock_name': '強信-KY', 'type': 'twse', 'date': '2025-09-30'}"
3303,4561,健椿,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4561', 'stock_name': '健椿', 'type': 'tpex', 'date': '2025-09-30'}"
3304,4562,穎漢,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4562', 'stock_name': '穎漢', 'type': 'twse', 'date': '2025-09-30'}"
3305,4563,百德,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4563', 'stock_name': '百德', 'type': 'tpex', 'date': '2025-09-30'}"
3306,4564,元翎,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4564', 'stock_name': '元翎', 'type': 'twse', 'date': '2025-09-30'}"
3307,4540,全球傳動,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4540', 'stock_name': '全球傳動', 'type': 'twse', 'date': '2025-09-30'}"
3308,4538,大詠城,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4538', 'stock_name': '大詠城', 'type': 'tpex', 'date': '2025-09-30'}"
3309,4537,旭東,光電業,emerging,2025-09-30,"{'industry_category': '光電業', 'stock_id': '4537', 'stock_name': '旭東', 'type': 'emerging', 'date': '2025-09-30'}"
3310,4536,拓凱,運動休閒,twse,2025-09-30,"{'industry_category': '運動休閒', 'stock_id': '4536', 'stock_name': '拓凱', 'type': 'twse', 'date': '2025-09-30'}"
3311,4430,耀億,其他,tpex,2025-09-30,"{'industry_category': '其他', 'stock_id': '4430', 'stock_name': '耀億', 'type': 'tpex', 'date': '2025-09-30'}"
3312,4431,敏成健康,其他,emerging,2025-09-30,"{'industry_category': '其他', 'stock_id': '4431', 'stock_name': '敏成健康', 'type': 'emerging', 'date': '2025-09-30'}"
3313,4432,銘旺實,紡織纖維,tpex,2025-09-30,"{'industry_category': '紡織纖維', 'stock_id': '4432', 'stock_name': '銘旺實', 'type': 'tpex', 'date': '2025-09-30'}"
3314,4433,興采,紡織纖維,tpex,2025-09-30,"{'industry_category': '紡織纖維', 'stock_id': '4433', 'stock_name': '興采', 'type': 'tpex', 'date': '2025-09-30'}"
3315,4438,廣越,紡織纖維,twse,2025-09-30,"{'industry_category': '紡織纖維', 'stock_id': '4438', 'stock_name': '廣越', 'type': 'twse', 'date': '2025-09-30'}"
3316,4439,冠星-KY,紡織纖維,twse,2025-09-30,"{'industry_category': '紡織纖維', 'stock_id': '4439', 'stock_name': '冠星-KY', 'type': 'twse', 'date': '2025-09-30'}"
3317,4440,宜新實業,紡織纖維,twse,2025-09-30,"{'industry_category': '紡織纖維', 'stock_id': '4440', 'stock_name': '宜新實業', 'type': 'twse', 'date': '2025-09-30'}"
3318,4441,振大環球,紡織纖維,twse,2025-09-30,"{'industry_category': '紡織纖維', 'stock_id': '4441', 'stock_name': '振大環球', 'type': 'twse', 'date': '2025-09-30'}"
3319,4442,竣邦-KY,紡織纖維,tpex,2025-09-30,"{'industry_category': '紡織纖維', 'stock_id': '4442', 'stock_name': '竣邦-KY', 'type': 'tpex', 'date': '2025-09-30'}"
3320,4502,健信,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4502', 'stock_name': '健信', 'type': 'tpex', 'date': '2025-09-30'}"
3321,4503,金雨,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4503', 'stock_name': '金雨', 'type': 'tpex', 'date': '2025-09-30'}"
3322,4565,宏偉,電機機械,emerging,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4565', 'stock_name': '宏偉', 'type': 'emerging', 'date': '2025-09-30'}"
3323,4506,崇友,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4506', 'stock_name': '崇友', 'type': 'tpex', 'date': '2025-09-30'}"
3324,4513,福裕,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4513', 'stock_name': '福裕', 'type': 'tpex', 'date': '2025-09-30'}"
3325,4523,永彰,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4523', 'stock_name': '永彰', 'type': 'tpex', 'date': '2025-09-30'}"
3326,4526,東台,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4526', 'stock_name': '東台', 'type': 'twse', 'date': '2025-09-30'}"
3327,4527,方土霖,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4527', 'stock_name': '方土霖', 'type': 'tpex', 'date': '2025-09-30'}"
3328,4528,江興鍛,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4528', 'stock_name': '江興鍛', 'type': 'tpex', 'date': '2025-09-30'}"
3329,4529,淳紳,其他,tpex,2025-09-30,"{'industry_category': '其他', 'stock_id': '4529', 'stock_name': '淳紳', 'type': 'tpex', 'date': '2025-09-30'}"
3330,4530,宏易,觀光餐旅,tpex,2025-09-30,"{'industry_category': '觀光餐旅', 'stock_id': '4530', 'stock_name': '宏易', 'type': 'tpex', 'date': '2025-09-30'}"
3331,4532,瑞智,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4532', 'stock_name': '瑞智', 'type': 'twse', 'date': '2025-09-30'}"
3332,4533,協易機,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4533', 'stock_name': '協易機', 'type': 'tpex', 'date': '2025-09-30'}"
3333,4534,慶騰,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4534', 'stock_name': '慶騰', 'type': 'tpex', 'date': '2025-09-30'}"
3334,4535,至興,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4535', 'stock_name': '至興', 'type': 'tpex', 'date': '2025-09-30'}"
3335,4510,高鋒,電機機械,tpex,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4510', 'stock_name': '高鋒', 'type': 'tpex', 'date': '2025-09-30'}"
3336,4426,利勤,紡織纖維,twse,2025-09-30,"{'industry_category': '紡織纖維', 'stock_id': '4426', 'stock_name': '利勤', 'type': 'twse', 'date': '2025-09-30'}"
3337,4566,時碩工業,電機機械,twse,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4566', 'stock_name': '時碩工業', 'type': 'twse', 'date': '2025-09-30'}"
3338,4569,六方科-KY,汽車工業,twse,2025-09-30,"{'industry_category': '汽車工業', 'stock_id': '4569', 'stock_name': '六方科-KY', 'type': 'twse', 'date': '2025-09-30'}"
3339,4721,美琪瑪,化學工業,tpex,2025-09-30,"{'industry_category': '化學工業', 'stock_id': '4721', 'stock_name': '美琪瑪', 'type': 'tpex', 'date': '2025-09-30'}"
3340,4722,國精化,化學工業,twse,2025-09-30,"{'industry_category': '化學工業', 'stock_id': '4722', 'stock_name': '國精化', 'type': 'twse', 'date': '2025-09-30'}"
3341,4722,國精化,化學生技醫療,twse,2025-09-30,"{'industry_category': '化學生技醫療', 'stock_id': '4722', 'stock_name': '國精化', 'type': 'twse', 'date': '2025-09-30'}"
3342,4724,宣捷幹細胞,生技醫療業,emerging,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4724', 'stock_name': '宣捷幹細胞', 'type': 'emerging', 'date': '2025-09-30'}"
3343,4726,永昕,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4726', 'stock_name': '永昕', 'type': 'tpex', 'date': '2025-09-30'}"
3344,4728,雙美,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4728', 'stock_name': '雙美', 'type': 'tpex', 'date': '2025-09-30'}"
3345,4729,熒茂,光電業,tpex,2025-09-30,"{'industry_category': '光電業', 'stock_id': '4729', 'stock_name': '熒茂', 'type': 'tpex', 'date': '2025-09-30'}"
3346,4732,彥臣,生技醫療業,emerging,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4732', 'stock_name': '彥臣', 'type': 'emerging', 'date': '2025-09-30'}"
3347,4735,豪展,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4735', 'stock_name': '豪展', 'type': 'tpex', 'date': '2025-09-30'}"
3348,4736,泰博,化學生技醫療,twse,2025-09-30,"{'industry_category': '化學生技醫療', 'stock_id': '4736', 'stock_name': '泰博', 'type': 'twse', 'date': '2025-09-30'}"
3349,4736,泰博,生技醫療業,twse,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4736', 'stock_name': '泰博', 'type': 'twse', 'date': '2025-09-30'}"
3350,4737,華廣,化學生技醫療,twse,2025-09-30,"{'industry_category': '化學生技醫療', 'stock_id': '4737', 'stock_name': '華廣', 'type': 'twse', 'date': '2025-09-30'}"
3351,4737,華廣,生技醫療業,twse,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4737', 'stock_name': '華廣', 'type': 'twse', 'date': '2025-09-30'}"
3352,4738,大同精化,化學工業,emerging,2025-09-30,"{'industry_category': '化學工業', 'stock_id': '4738', 'stock_name': '大同精化', 'type': 'emerging', 'date': '2025-09-30'}"
3353,4739,康普,化學工業,twse,2025-09-30,"{'industry_category': '化學工業', 'stock_id': '4739', 'stock_name': '康普', 'type': 'twse', 'date': '2025-09-30'}"
3354,4739,康普,化學生技醫療,twse,2025-09-30,"{'industry_category': '化學生技醫療', 'stock_id': '4739', 'stock_name': '康普', 'type': 'twse', 'date': '2025-09-30'}"
3355,4741,泓瀚,化學工業,tpex,2025-09-30,"{'industry_category': '化學工業', 'stock_id': '4741', 'stock_name': '泓瀚', 'type': 'tpex', 'date': '2025-09-30'}"
3356,4743,合一,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4743', 'stock_name': '合一', 'type': 'tpex', 'date': '2025-09-30'}"
3357,4744,皇將,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4744', 'stock_name': '皇將', 'type': 'tpex', 'date': '2025-09-30'}"
3358,4745,合富-KY,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4745', 'stock_name': '合富-KY', 'type': 'tpex', 'date': '2025-09-30'}"
3359,4746,台耀,化學生技醫療,twse,2025-09-30,"{'industry_category': '化學生技醫療', 'stock_id': '4746', 'stock_name': '台耀', 'type': 'twse', 'date': '2025-09-30'}"
3360,4746,台耀,生技醫療業,twse,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4746', 'stock_name': '台耀', 'type': 'twse', 'date': '2025-09-30'}"
3361,4747,強生,生技醫療業,tpex,2025-09-30,"{'industry_category': '生技醫療業', 'stock_id': '4747', 'stock_name': '強生', 'type': 'tpex', 'date': '2025-09-30'}"
3362,4720,德淵,化學生技醫療,twse,2025-09-30,"{'industry_category': '化學生技醫療', 'stock_id': '4720', 'stock_name': '德淵', 'type': 'twse', 'date': '2025-09-30'}"
3363,4720,德淵,化學工業,twse,2025-09-30,"{'industry_category': '化學工業', 'stock_id': '4720', 'stock_name': '德淵', 'type': 'twse', 'date': '2025-09-30'}"
3364,4716,大立,化學工業,tpex,2025-09-30,"{'industry_category': '化學工業', 'stock_id': '4716', 'stock_name': '大立', 'type': 'tpex', 'date': '2025-09-30'}"
3365,4714,永捷,化學工業,tpex,2025-09-30,"{'industry_category': '化學工業', 'stock_id': '4714', 'stock_name': '永捷', 'type': 'tpex', 'date': '2025-09-30'}"
3366,4570,傑生,電機機械,emerging,2025-09-30,"{'industry_category': '電機機械', 'stock_id': '4570', 'stock_name': '傑生', 'type': 'emerging', 'date': '2025-09-30'}"
